iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,2.4429218520493174,2.5137358338028495,0.07081398175353204,2.254870687084172,2.325684668837705,0.07081398175353293,8.881784197001252e-16,2.796274567936997,2.2783958553518624
1,2.5137358338028495,2.585197371170665,0.07146153736781535,1.6459577004347299,1.7174192378025448,0.07146153736781491,4.440892098500626e-16,1.9328751668691964,1.651657323086181
2,2.585197371170665,2.65950294427407,0.07430557310340502,1.1898082929857026,1.2641138660891096,0.07430557310340702,1.9984014443252818e-15,1.4263683716276754,1.1934806512688203
3,2.65950294427407,2.737878459926602,0.07837551565253209,1.1690259932709952,1.2474015089235353,0.07837551565254008,7.993605777301127e-15,1.306365167714898,1.17134809104889
4,2.737878459926602,2.8208929526457136,0.08301449271911165,0.6656855153403249,0.7487000080594383,0.08301449271911332,1.6653345369377348e-15,0.7752667567598444,0.6706804190188358
5,2.8208929526457136,2.909417630555998,0.0885246779102844,-0.2237327245226557,-0.1352080466123682,0.08852467791028748,3.0808688933348094e-15,0.43395073295799635,0.24096744714073207
6,2.909417630555998,3.003895967556162,0.09447833700016384,-0.07688157129012474,0.017596765710040947,0.09447833700016568,1.8457457784393227e-15,0.17642381908325033,0.09869179707542035
7,3.003895967556162,3.104763559546297,0.10086759199013517,0.7249151461850833,0.8257827381752181,0.10086759199013473,4.440892098500626e-16,1.0882161780694162,0.7340245174860149
8,3.104763559546297,3.2123867540442768,0.10762319449797975,0.3604965466223411,0.468119741120329,0.1076231944979879,8.1601392309949e-15,0.5152363313701773,0.36895816533502834
9,3.2123867540442768,3.3274057468885854,0.11501899284430861,0.6497631042086902,0.7647820970530057,0.11501899284431549,6.8833827526759706e-15,0.8669183349159866,0.6541722762735709
10,3.3274057468885854,3.4498219346952492,0.12241618780666386,1.0510821713621095,1.1734983591687715,0.12241618780666208,1.7763568394002505e-15,1.371930103143105,1.0542498815226844
11,3.4498219346952492,3.5804171044446744,0.1305951697494252,1.7564124862057025,1.8870076559551294,0.13059516974942698,1.7763568394002505e-15,2.003551808747619,1.7582119286854014
12,3.5804171044446744,3.7191250095874855,0.13870790514281106,1.0297502618350305,1.1684581669778413,0.13870790514281084,2.220446049250313e-16,1.3077772152017628,1.0326444519375693
