iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,8.806185359003953,8.86863442141162,0.062449062407667455,8.59034122140985,8.652790283817517,0.062449062407667455,0.0,9.3174502072731,8.597570584883442
1,8.86863442141162,8.930681038934715,0.06204661752309448,7.883650909909697,7.9456975274327934,0.06204661752309626,1.7763568394002505e-15,8.250178244508808,7.8849899793414515
2,8.930681038934715,8.994406680508767,0.06372564157405236,6.488860030014045,6.5525856715880995,0.06372564157405414,1.7763568394002505e-15,6.857657927173205,6.490057840496093
3,8.994406680508767,9.060836463224284,0.0664297827155167,5.656545395895158,5.72297517861067,0.06642978271551225,4.440892098500626e-15,6.001362118501694,5.657638296316802
4,9.060836463224284,9.13062121725763,0.06978475403334627,4.778812891792647,4.848597645825987,0.06978475403334006,6.217248937900877e-15,5.156240048731149,4.780310643200353
5,9.13062121725763,9.204734533829981,0.0741133165723511,3.942443810469758,4.016557127042103,0.07411331657234488,6.217248937900877e-15,4.324795731846024,3.9442798721197643
6,9.204734533829981,9.282891826691737,0.07815729286175532,3.623068257971102,3.7012255508328464,0.07815729286174422,1.1102230246251565e-14,3.9193816263154684,3.6245712913126615
7,9.282891826691737,9.365659514571071,0.08276768787933442,2.9633530992890496,3.0461207871683653,0.08276768787931577,1.865174681370263e-14,3.300049192598083,2.965487588015004
8,9.365659514571071,9.453749999628009,0.08809048505693795,2.3913867120989565,2.479477197155893,0.08809048505693662,1.3322676295501878e-15,2.7241122441725505,2.3936171948158873
9,9.453749999628009,9.547668209849693,0.093918210221684,2.3009468170260803,2.3948650272477825,0.09391821022170221,1.8207657603852567e-14,2.562728795586459,2.3025272811281976
10,9.547668209849693,9.647412312416122,0.0997441025664294,1.8549028249372022,1.9546469275036247,0.09974410256642252,6.8833827526759706e-15,2.1843271701538534,1.8575244534047448
11,9.647412312416122,9.753373570854368,0.10596125843824566,1.4123691890516739,1.5183304474899046,0.10596125843823079,1.4876988529977098e-14,1.7053719480298781,1.4154317285259732
12,9.753373570854368,9.866225696332386,0.11285212547801748,0.9334310517856501,1.0462831772636703,0.11285212547802015,2.6645352591003757e-15,1.2360929734985238,0.9386971360548085
13,9.866225696332386,9.986219983280321,0.11999428694793579,0.43446037841551544,0.5544546653634578,0.11999428694794234,6.5503158452884236e-15,0.7468207544438528,0.44650489151633505
14,9.986219983280321,10.113431708568854,0.1272117252885323,0.19492633241476653,0.3221380577032611,0.12721172528849456,3.774758283725532e-14,0.4632175100688656,0.21649591653573486
15,10.113431708568854,10.248215723409974,0.13478401484112013,0.2524117395823424,0.38719575442345433,0.1347840148411119,8.215650382226158e-15,0.49372828542239056,0.265348362939283
16,10.248215723409974,10.390972003663368,0.14275628025339415,0.3436288420108191,0.4863851222642299,0.1427562802534108,1.6653345369377348e-14,0.660749997646036,0.35595105144082995
17,10.390972003663368,10.541921683678765,0.15094968001539755,0.013620540822333993,0.1645702208377377,0.1509496800154037,6.161737786669619e-15,0.2651216972484036,0.09118154061549387
18,10.541921683678765,10.701583926478023,0.15966224279925711,0.3283996368743374,0.4880618796735631,0.15966224279922575,3.136380044566067e-14,0.5199961497658858,0.3407014924756241
19,10.701583926478023,10.871115439513238,0.1695315130352153,0.04457745412885572,0.2141089671640897,0.16953151303523398,1.867950238931826e-14,0.26857542403666734,0.09691295712621069
20,10.871115439513238,11.050204296146465,0.1790888566332267,0.21227937279036801,0.39136822942352556,0.17908885663315754,6.916689443414725e-14,0.3756190268470636,0.2266829005263961
21,11.050204296146465,11.238530047801286,0.1883257516548209,0.7663244498120072,0.9546502014668066,0.18832575165479937,2.1538326677728037e-14,1.0549847170379962,0.771884739566947
22,11.238530047801286,11.437673331275647,0.1991432834743616,1.3050518116028602,1.5041950950772536,0.19914328347439336,3.175237850427948e-14,1.482607476860677,1.3070645570162278
23,11.437673331275647,11.646929289550961,0.20925595827531396,1.2745334515721254,1.4837894098474789,0.20925595827535348,3.952393967665557e-14,1.4464082084056322,1.276795718270438
24,11.646929289550961,11.867502376491625,0.22057308694066435,1.1756588773443113,1.3962319642850176,0.22057308694070632,4.196643033083092e-14,1.364828351518641,1.1784390622946421
25,11.867502376491625,12.099836672272072,0.23233429578044706,0.48806734388550055,0.7204016396659629,0.23233429578046239,1.532107773982716e-14,0.7498262270422824,0.4958890454397878
26,12.099836672272072,12.344948121573854,0.2451114493017812,0.27642377706943577,0.5215352263712351,0.2451114493017993,1.8096635301390052e-14,0.4820138738370012,0.28517630902966234
27,12.344948121573854,12.601906482009163,0.2569583604353092,0.7170158114694836,0.9739741719047895,0.25695836043530595,3.219646771412954e-15,0.8596875252102425,0.7215542001386476
28,12.601906482009163,12.870372841392282,0.2684663593831189,0.5797751581947708,0.8482415175778488,0.26846635938307806,4.085620730620576e-14,0.7731728357419634,0.5871112941598458
29,12.870372841392282,13.15151391993847,0.2811410785461881,0.7791276669843228,1.0602687455305364,0.2811410785462136,2.55351295663786e-14,0.9617413319910053,0.7826869422084516
30,13.15151391993847,13.445762423246421,0.2942485033079514,1.2441378987916956,1.5383864020997144,0.2942485033080189,6.750155989720952e-14,1.3914974275732224,1.2452294469128484
31,13.445762423246421,13.751294951789152,0.30553252854273083,1.2001483714275736,1.5056808999703335,0.3055325285427599,2.90878432451791e-14,1.3482492177599106,1.2018549380030448
32,13.751294951789152,14.070407482106766,0.31911253031761433,0.398305576197874,0.7174181065154305,0.3191125303175565,5.784261958297066e-14,0.6447633955998189,0.40800173786362953
33,14.070407482106766,14.401969708082135,0.3315622259753681,0.3419758698535773,0.6735380958289602,0.3315622259753829,1.4765966227514582e-14,0.5460535204388943,0.35008182519443104
34,14.401969708082135,14.74691151142678,0.3449418033446463,0.12141851293748118,0.466360316282165,0.34494180334468383,3.752553823233029e-14,0.3217765105142245,0.1386643718239868
35,14.74691151142678,15.102797699565631,0.3558861881388502,-0.10727851032653035,0.24860767781232332,0.35588618813885364,3.4416913763379853e-15,0.2558652358460076,0.13268309295600175
