iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,0.0189915993272768,0.020966296143774207,0.001974696816497406,0.1948793934010643,0.19685409021756176,0.001974696816497451,4.5102810375396984e-17,0.6560305659542234,0.25147425064931606
1,0.020966296143774207,0.022968318336050356,0.002002022192276149,0.09321128839062554,0.09521331058290172,0.002002022192276187,3.8163916471489756e-17,0.46178724532818805,0.1571238655004989
2,0.022968318336050356,0.024998625863155828,0.0020303075271054724,0.12637744152102465,0.12840774904813027,0.002030307527105618,1.457167719820518e-16,0.43198507362524896,0.18777624153723463
3,0.024998625863155828,0.027084557402961233,0.0020859315398054044,0.1559636781812166,0.15804960972102194,0.0020859315398053524,5.204170427930421e-17,0.4121081366387453,0.18958799414654656
4,0.027084557402961233,0.029258057923408076,0.0021735005204468437,-0.11826890501313536,-0.11609540449268868,0.0021735005204466806,1.6306400674181987e-16,0.4678476928339506,0.16779698554855377
5,0.029258057923408076,0.03152357143354024,0.0022655135101321625,-0.030197381484930785,-0.02793186797479858,0.002265513510132204,4.163336342344337e-17,0.3093379357236458,0.11704231341816243
6,0.03152357143354024,0.03388890670420895,0.002365335270668713,0.02392707706549558,0.026292412336164108,0.002365335270668529,1.8388068845354155e-16,0.3197594320237689,0.1298894146217413
7,0.03388890670420895,0.03636124864746375,0.0024723419432547966,-0.0672548855037405,-0.06478254356048557,0.0024723419432549215,1.249000902703301e-16,0.4883294167860005,0.13895829347387909
8,0.03636124864746375,0.03895591654743321,0.002594667899969462,-0.09240671102421334,-0.08981204312424389,0.002594667899969455,6.938893903907228e-18,0.3099949283102459,0.13573329842947943
9,0.03895591654743321,0.04167142546541074,0.0027155089179775327,0.25796972076802765,0.2606852296860053,0.0027155089179776715,1.3877787807814457e-16,0.4646988689903919,0.2762380267944464
10,0.04167142546541074,0.04452400001563017,0.002852574550219429,0.02089398252175672,0.02374655707197616,0.0028525745502194395,1.0408340855860843e-17,0.31961138453705584,0.12873464306161056
11,0.04452400001563017,0.04751114601795962,0.002987146002329445,0.07447001837525402,0.07745716437758347,0.002987146002329452,6.938893903907228e-18,0.2831549385210489,0.11820504767123245
12,0.04751114601795962,0.05062329983189026,0.0031121538139306446,0.3367604681040666,0.3398726219179973,0.0031121538139306515,6.938893903907228e-18,0.582646286507587,0.34825872447849116
13,0.05062329983189026,0.05386771880745168,0.0032444189755614153,-0.0043262708626987945,-0.0010818518871372805,0.003244418975561514,9.8879238130678e-17,0.24709860743228446,0.0981379745925485
14,0.05386771880745168,0.05726755657254134,0.003399837765089661,-0.14583521826119883,-0.14243538049610904,0.003399837765089786,1.249000902703301e-16,0.3332391425195157,0.17130272134810665
15,0.05726755657254134,0.06085441581431053,0.0035868592417691927,-0.1357193360146729,-0.13213247677290385,0.003586859241769047,1.457167719820518e-16,0.3336627443903307,0.16187979613402334
16,0.06085441581431053,0.0646559683834541,0.0038015525691435653,-0.11175392948157412,-0.10795237691243073,0.003801552569143385,1.8041124150158794e-16,0.3546802578009968,0.1428347209737517
17,0.0646559683834541,0.06866594818309739,0.004009979799643293,0.05878270331115819,0.06279268311080148,0.004009979799643293,0.0,0.3121504213885503,0.10981813336532491
18,0.06866594818309739,0.07288770079314476,0.004221752610047369,-0.06126209571486481,-0.05704034310481753,0.004221752610047279,9.020562075079397e-17,0.2542795842617133,0.1038768606795295
19,0.07288770079314476,0.07734153438942096,0.004453833596276199,0.10247160869032144,0.10692544228659769,0.004453833596276241,4.163336342344337e-17,0.3029981383890272,0.1371223035092243
20,0.07734153438942096,0.08201233145295964,0.004670797063538679,0.07120562270866296,0.07587641977220154,0.0046707970635385815,9.71445146547012e-17,0.3200538841893349,0.11407894787292795
21,0.08201233145295964,0.08690539410094678,0.00489306264798714,0.06937216544024385,0.07426522808823109,0.004893062647987237,9.71445146547012e-17,0.3507894288216641,0.1032794974668794
22,0.08690539410094678,0.09201922353892296,0.005113829437976183,0.06411321601485431,0.06922704545283039,0.005113829437976072,1.1102230246251565e-16,0.23208704805588806,0.09855536830166181
23,0.09201922353892296,0.09740622865135301,0.005387005112430052,0.22200272890401246,0.22738973401644247,0.00538700511243001,4.163336342344337e-17,0.4224879136453652,0.2364494852247014
24,0.09740622865135301,0.10306464884680683,0.005658420195453817,0.011713422860312128,0.01737184305576593,0.005658420195453803,1.3877787807814457e-17,0.21426300267275983,0.08091336392742163
25,0.10306464884680683,0.10902849404779025,0.00596384520098342,0.017175593344031237,0.02313943854501455,0.005963845200983312,1.0755285551056204e-16,0.21329567937016292,0.08116351525890232
26,0.10902849404779025,0.11529006093027132,0.0062615668824810705,-0.021001209850099456,-0.014739642967618528,0.006261566882480928,1.4224732503009818e-16,0.2170109979542698,0.08170717713284543
27,0.11529006093027132,0.12184755638771919,0.006557495457447868,0.2730835825494404,0.27964107800688814,0.006557495457447771,9.71445146547012e-17,0.46967320861383577,0.28218506419210787
28,0.12184755638771919,0.12872927651035032,0.006881720122631135,0.024164474336784286,0.031046194459415467,0.00688172012263118,4.5102810375396984e-17,0.2489316088380253,0.08145363802678071
29,0.12872927651035032,0.13591178794402178,0.007182511433671462,-0.0397164793045503,-0.03253396787087851,0.0071825114336717885,3.2612801348363973e-16,0.3195170544832072,0.0949659685120813
30,0.13591178794402178,0.14345576316747385,0.007543975223452071,-0.09930517404038444,-0.0917611988169322,0.007543975223452237,1.6653345369377348e-16,0.25595111260713244,0.1244031998295707
31,0.14345576316747385,0.15134522088414276,0.007889457716668907,-0.09310398162586578,-0.08521452390919693,0.007889457716668852,5.551115123125783e-17,0.2975313150808676,0.12438151151365087
32,0.15134522088414276,0.159572553390205,0.008227332506062252,-0.07516029465983404,-0.06693296215377181,0.008227332506062224,2.7755575615628914e-17,0.247789303429767,0.10317749213221407
33,0.159572553390205,0.16818907711204967,0.008616523721844654,0.0048577309702859395,0.013474254692130563,0.008616523721844623,3.122502256758253e-17,0.23052005715966228,0.08299318289031843
34,0.16818907711204967,0.1772425862601245,0.009053509148074845,0.004604675441089889,0.01365818458916482,0.00905350914807493,8.500145032286355e-17,0.24026571056809964,0.08440336765976811
