iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,0.11778908954618385,0.11959883127868177,0.001809741732497927,0.005240359180950352,0.007050100913448336,0.0018097417324979843,5.724587470723463e-17,0.4884924334409846,0.15153445767391938
1,0.11959883127868177,0.12139353563185021,0.0017947043531684331,0.06165923575038558,0.06345394010355405,0.0017947043531684748,4.163336342344337e-17,0.33172261799060093,0.1341146516521438
2,0.12139353563185021,0.12324181137418422,0.0018482757423340102,0.0390224320545344,0.04087070779686837,0.0018482757423339685,4.163336342344337e-17,0.3770103237388449,0.1312168247992559
3,0.12324181137418422,0.12514912591519453,0.0019073145410103132,0.10815623543211772,0.110063549973128,0.0019073145410102854,2.7755575615628914e-17,0.4334130467360203,0.17040496916540204
4,0.12514912591519453,0.12712904441473372,0.001979918499539185,0.0773448852103312,0.07932480370987047,0.0019799184995392682,8.326672684688674e-17,0.36392865320978246,0.12762967022344074
5,0.12712904441473372,0.1291823461402719,0.0020533017255381925,0.1500651274564473,0.1521184291819855,0.00205330172553822,2.7755575615628914e-17,0.5097132005443012,0.18226274605288573
6,0.1291823461402719,0.1313455907976262,0.0021632446573542907,0.11623525151354719,0.11839849617090124,0.002163244657354055,2.3592239273284576e-16,0.34744678952047603,0.14584233714249614
7,0.1313455907976262,0.13360735906127638,0.0022617682636501824,0.0860046243352357,0.08826639259888595,0.0022617682636502517,6.938893903907228e-17,0.3339657474357972,0.13083964461326666
8,0.13360735906127638,0.1359826049141998,0.0023752458529234244,-0.13064403269134664,-0.12826878683842305,0.002375245852923591,1.6653345369377348e-16,0.4137751358861346,0.16712007318422165
9,0.1359826049141998,0.13848577768217774,0.002503172767977929,0.06251021307110252,0.06501338583908041,0.0025031727679778876,4.163336342344337e-17,0.34654494414529435,0.12066971548413641
10,0.13848577768217774,0.14112803085822506,0.0026422531760473267,0.12866772849807284,0.13130998167412022,0.002642253176047382,5.551115123125783e-17,0.4140833884162415,0.163028874359211
11,0.14112803085822506,0.14390102688905965,0.0027729960308345847,-0.17272078689188802,-0.16994779086105355,0.0027729960308344737,1.1102230246251565e-16,0.4326401547073782,0.2092561098277282
12,0.14390102688905965,0.14681715855281238,0.0029161316637527357,0.156850117987622,0.15976624965137473,0.0029161316637527357,0.0,0.393732615347248,0.18579784503591895
13,0.14681715855281238,0.1498911515377706,0.0030739929849582237,0.005896760348923474,0.008970753333881538,0.003073992984958064,1.5959455978986625e-16,0.26116940138192524,0.09280653317900071
14,0.1498911515377706,0.15312041524814834,0.003229263710377739,0.007624187419890627,0.01085345113026836,0.0032292637103777336,5.204170427930421e-18,0.27003147797935684,0.08421585707311416
15,0.15312041524814834,0.15649906503994904,0.003378649791800692,0.019344781284624912,0.022723431076425712,0.0033786497918007995,1.0755285551056204e-16,0.29669000262965095,0.10352530982447512
16,0.15649906503994904,0.16006943271385474,0.0035703676739057,-0.032574689929336764,-0.029004322255430988,0.0035703676739057763,7.632783294297951e-17,0.23214608100266237,0.0990722345115575
17,0.16006943271385474,0.16381086864994499,0.0037414359360902483,0.017489067300986177,0.021230503237076405,0.0037414359360902275,2.0816681711721685e-17,0.3241596507276364,0.08847946105083004
18,0.16381086864994499,0.16775205701324902,0.003941188363304038,0.09046422169622159,0.09440541005952566,0.003941188363304066,2.7755575615628914e-17,0.3050886533998668,0.1211948450725351
19,0.16775205701324902,0.17192714712375193,0.004175090110502905,-0.10102989647802152,-0.09685480636751856,0.00417509011050296,5.551115123125783e-17,0.33333050941494013,0.1282427904758626
20,0.17192714712375193,0.17632980397878206,0.004402656855030135,-0.024780927705323558,-0.020378270850293336,0.0044026568550302216,8.673617379884035e-17,0.23952579671817728,0.0734458281048209
21,0.17632980397878206,0.180975792073845,0.004645988095062947,0.04707455362052648,0.051720541715589326,0.004645988095062843,1.0408340855860843e-16,0.22619179815568302,0.0847623476513831
22,0.180975792073845,0.1858445394320035,0.004868747358158482,-0.04117581863541614,-0.036307071277257776,0.004868747358158364,1.1796119636642288e-16,0.23504310005242066,0.08165841493168884
23,0.1858445394320035,0.19099265864175596,0.005148119209752472,0.16922991118932548,0.17437803039907787,0.005148119209752389,8.326672684688674e-17,0.4031254716066809,0.18774750864399542
24,0.19099265864175596,0.19639483998201784,0.00540218134026188,0.17798763344804958,0.18338981478831157,0.005402181340261991,1.1102230246251565e-16,0.3889747477543433,0.19520980939472904
25,0.19639483998201784,0.20205563940498517,0.005660799422967322,0.20403549033784246,0.2096962897608097,0.005660799422967239,8.326672684688674e-17,0.37790947201786473,0.2213062530739597
26,0.20205563940498517,0.20798356978751154,0.00592793038252637,-0.08348815696854606,-0.07756022658601969,0.00592793038252637,0.0,0.40647649923539936,0.12700897651881488
27,0.20798356978751154,0.21419477739748144,0.006211207609969904,0.0977919145004581,0.104003122110428,0.006211207609969904,0.0,0.40486461960717013,0.13865462403695802
28,0.21419477739748144,0.2206646462029377,0.006469868805456247,-0.22045747746103844,-0.21398760865558222,0.006469868805456219,2.7755575615628914e-17,0.4290383801289726,0.2445950687609389
29,0.2206646462029377,0.22747289305021678,0.006808246847279098,-0.1538477481342787,-0.14703950128699952,0.006808246847279181,8.326672684688674e-17,0.30542842763964045,0.1679571520777074
30,0.22747289305021678,0.23460600031131806,0.007133107261101279,0.024326547456948733,0.03145965471804998,0.0071331072611012444,3.469446951953614e-17,0.3171172870865482,0.09138729896492985
31,0.23460600031131806,0.24204844974564488,0.007442449434326814,-0.09288592321507705,-0.08544347378075011,0.007442449434326939,1.249000902703301e-16,0.3193670434879069,0.1344030097984575
32,0.24204844974564488,0.24982908481163169,0.007780635065986807,0.1372618444042849,0.14504247947027174,0.007780635065986835,2.7755575615628914e-17,0.36865183243006594,0.16049648412513237
33,0.24982908481163169,0.2579703009892127,0.008141216177581012,0.01982361523098508,0.027964831408566166,0.008141216177581085,7.28583859910259e-17,0.2426382610794654,0.08443686472496996
34,0.2579703009892127,0.2664793132286414,0.008509012239428682,0.11348428873180993,0.12199330097123863,0.008509012239428695,1.3877787807814457e-17,0.3689476324728774,0.14091788353036303
35,0.2664793132286414,0.27534467046979716,0.00886535724115578,0.037315722730139944,0.04618107997129566,0.008865357241155718,6.245004513516506e-17,0.20483138429120745,0.07974935600084773
36,0.27534467046979716,0.2845710692701251,0.00922639880032794,0.07040640066742798,0.079632799467756,0.009226398800328023,8.326672684688674e-17,0.30181816438383213,0.10062995036248815
37,0.2845710692701251,0.2941842354200434,0.009613166149918306,-0.09233483240754858,-0.08272166625763021,0.009613166149918376,6.938893903907228e-17,0.29106575057657214,0.1275755384251916
38,0.2941842354200434,0.3042558078787426,0.010071572458699218,0.1726803522330828,0.18275192469178203,0.010071572458699218,0.0,0.3699987077859628,0.19061164910624048
39,0.3042558078787426,0.31472820579770694,0.010472397918964316,0.025350327971917275,0.035822725890881535,0.01047239791896426,5.551115123125783e-17,0.2685544362040954,0.0861462176154919
40,0.31472820579770694,0.32564047339813923,0.01091226760043229,-0.18331542249538263,-0.17240315489495023,0.010912267600432402,1.1102230246251565e-16,0.41276779310990075,0.20153525364476418
41,0.32564047339813923,0.3370017221677257,0.011361248769586496,-0.1363665892861397,-0.12500534051655338,0.01136124876958633,1.6653345369377348e-16,0.3093837425382016,0.1568230486148427
42,0.3370017221677257,0.34874937730125843,0.011747655133532708,-0.11575354335222854,-0.10400588821869561,0.01174765513353293,2.220446049250313e-16,0.3066945861192725,0.1392221715586395
43,0.34874937730125843,0.36093192556954173,0.0121825482682833,-0.015896263471974592,-0.003713715203691156,0.012182548268283435,1.3530843112619095e-16,0.17467148285315656,0.07243750766102407
44,0.36093192556954173,0.37366353524132134,0.012731609671779609,0.14069374511681682,0.15342535478859626,0.012731609671779442,1.6653345369377348e-16,0.40257736494431506,0.16490782464767037
45,0.37366353524132134,0.3868994114692964,0.013235876227975063,0.16470923407334337,0.17794511030131843,0.013235876227975063,0.0,0.4388454479117574,0.19187061729017996
46,0.3868994114692964,0.40072335614617927,0.01382394467688286,-0.012975816416490038,0.0008481282603929523,0.01382394467688299,1.3010426069826053e-16,0.2686642270609527,0.07672898976593177
47,0.40072335614617927,0.41506793801816166,0.014344581871982398,0.03334178941817967,0.047686371290162025,0.014344581871982356,4.163336342344337e-17,0.2207677862983602,0.08323723235356702
48,0.41506793801816166,0.42999034581303897,0.014922407794877302,-0.04501883210470914,-0.03009642430983187,0.01492240779487727,3.122502256758253e-17,0.22743752866062716,0.09130809572688318
49,0.42999034581303897,0.4455389163178445,0.015548570504805515,0.002868023843675127,0.018416594348480912,0.015548570504805785,2.706168622523819e-16,0.23255145656518733,0.08542081596472538
50,0.4455389163178445,0.461637881422996,0.01609896510515152,-0.14278074681516206,-0.12668178171001054,0.01609896510515152,0.0,0.3954353324844124,0.17282494400045875
51,0.461637881422996,0.47830307393892163,0.01666519251592563,0.020318511129937544,0.036983703645863265,0.01666519251592572,9.020562075079397e-17,0.26001511969386876,0.08077215315714831
52,0.47830307393892163,0.49557987636648554,0.01727680242756391,-0.06477008838114834,-0.04749328595358438,0.017276802427563957,4.85722573273506e-17,0.23933012265474252,0.0900215110418869
53,0.49557987636648554,0.5135648276578186,0.017984951291333096,-0.1100330885849477,-0.09204813729361461,0.017984951291333096,0.0,0.30130365599088593,0.13491825916634292
54,0.5135648276578186,0.5321832505510575,0.018618422893238895,-0.09813054274623112,-0.07951211985299245,0.018618422893238673,2.220446049250313e-16,0.26243902048127343,0.12557263142823083
55,0.5321832505510575,0.5515309938082975,0.01934774325723998,0.03843023490527786,0.0577779781625179,0.019347743257240042,6.245004513516506e-17,0.26043338484416745,0.08967218552953894
56,0.5515309938082975,0.5715305194467191,0.019999525638421556,0.04451893872744783,0.06451846436586946,0.019999525638421625,6.938893903907228e-17,0.2574361818290729,0.08198219161602169
57,0.5715305194467191,0.5921114342773556,0.02058091483063651,-0.18291730638836734,-0.162336391557731,0.020580914830636343,1.6653345369377348e-16,0.32457445120186196,0.19402890032142306
