iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,0.027331655545383242,0.02960436514890733,0.0022727096035240896,0.17259247598714617,0.17486518559067019,0.00227270960352402,6.938893903907228e-17,0.5198356144341396,0.22788178220972996
1,0.02960436514890733,0.03189940536989973,0.002295040220992396,0.0815973701120585,0.08389241033305098,0.0022950402209924725,7.632783294297951e-17,0.44931311103106186,0.14219722559405623
2,0.03189940536989973,0.03413943345061719,0.0022400280807174655,0.23622495068716026,0.23846497876787787,0.0022400280807176043,1.3877787807814457e-16,0.5612233319467809,0.26663282340315314
3,0.03413943345061719,0.03647219666596137,0.0023327632153441746,-0.1927683056741093,-0.19043554245876518,0.002332763215344119,5.551115123125783e-17,0.4629613508504991,0.22818607555773318
4,0.03647219666596137,0.038913403227450814,0.0024412065614894465,-0.022975376697324842,-0.02053417013583527,0.0024412065614895714,1.249000902703301e-16,0.2669402077679237,0.11369945843211485
5,0.038913403227450814,0.04146495756521207,0.002551554337761254,0.10459611791604248,0.10714767225380367,0.0025515543377611916,6.245004513516506e-17,0.3815092378782421,0.15148604246494973
6,0.04146495756521207,0.044141848644508055,0.002676891079295987,-0.04390401395704513,-0.04122712287774916,0.0026768910792959663,2.0816681711721685e-17,0.3731552544261607,0.11527073835917966
7,0.044141848644508055,0.046926982516679816,0.0027851338721717606,-0.10507337618749728,-0.1022882423153255,0.0027851338721717744,1.3877787807814457e-17,0.3596425086883651,0.1519879075544586
8,0.046926982516679816,0.04983893798142935,0.0029119554647495313,-0.061637186804063715,-0.05872523133931425,0.002911955464749462,6.938893903907228e-17,0.2559837385792545,0.10196328508671114
9,0.04983893798142935,0.052892666425894866,0.0030537284444655186,-0.03677287875089997,-0.0337191503064344,0.003053728444465567,4.85722573273506e-17,0.3545501809312996,0.10727759908153321
10,0.052892666425894866,0.056065103935136903,0.0031724375092420376,-0.1069425168031115,-0.10377007929386962,0.003172437509241871,1.6653345369377348e-16,0.39408457259587815,0.16170452005928945
11,0.056065103935136903,0.05940026123344827,0.003335157298311367,0.11038503949489768,0.11372019679320908,0.0033351572983113947,2.7755575615628914e-17,0.3748470786117625,0.1562327689935537
12,0.05940026123344827,0.06289661899560181,0.00349635776215354,0.013753167516468545,0.017249525278622113,0.003496357762153568,2.7755575615628914e-17,0.23810274646326554,0.08393574837244774
13,0.06289661899560181,0.06659479384718582,0.00369817485158401,-0.10897285939658011,-0.10527468454499615,0.0036981748515839546,5.551115123125783e-17,0.35600409734682853,0.15431688772590196
14,0.06659479384718582,0.07048150268183548,0.0038867088346496576,0.15825004730898073,0.16213675614363046,0.003886708834649727,6.938893903907228e-17,0.5791527633028868,0.20158155542736284
