iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,-0.2990087121451286,-0.29687928200424174,0.0021294301408868455,-0.11010751681341913,-0.10797808667253234,0.00212943014088679,5.551115123125783e-17,0.5406433886945128,0.18270830693865983
1,-0.29687928200424174,-0.29473794025238176,0.002141341751859982,0.02767201799592478,0.029813359747784773,0.0021413417518599924,1.0408340855860843e-17,0.42815066448213573,0.1288351875428097
2,-0.29473794025238176,-0.2925424078905897,0.002195532361792041,-0.14870034119507336,-0.1465048088332813,0.0021955323617920686,2.7755575615628914e-17,0.44856266331406447,0.18221361484936763
3,-0.2925424078905897,-0.29030165418372167,0.0022407537068680483,-0.025764219045679826,-0.0235234653388119,0.002240753706867927,1.214306433183765e-16,0.3719778843628865,0.13174377722209393
4,-0.29030165418372167,-0.28800281897934,0.0022988352043816773,-0.19938916493411785,-0.19709032972973628,0.0022988352043815663,1.1102230246251565e-16,0.4374514099929028,0.23042984838151145
5,-0.28800281897934,-0.28560533513427366,0.0023974838450663283,-0.31097545934249027,-0.3085779754974237,0.0023974838450665503,2.220446049250313e-16,0.5809488263603613,0.3307650442782001
6,-0.28560533513427366,-0.283113016464959,0.0024923186693146526,-0.03611042212923643,-0.0336181034599218,0.002492318669314632,2.0816681711721685e-17,0.3246704035405394,0.11907547808123618
7,-0.283113016464959,-0.28046801174457153,0.0026450047203874782,-0.09215860516447771,-0.08951360044409011,0.002645004720387603,1.249000902703301e-16,0.3703477650302396,0.1419755563505522
8,-0.28046801174457153,-0.27768157171220736,0.002786440032364168,0.15598539303357745,0.15877183306594156,0.0027864400323641125,5.551115123125783e-17,0.37236647302438997,0.18369119026376407
9,-0.27768157171220736,-0.27475707653405623,0.002924495178151132,0.07993872066009572,0.08286321583824695,0.002924495178151229,9.71445146547012e-17,0.34855210806827064,0.12918953057279334
10,-0.27475707653405623,-0.2716843559239802,0.0030727206100760185,-0.07031961723890634,-0.0672468966288304,0.0030727206100759352,8.326672684688674e-17,0.3004564773760501,0.11492352086503228
11,-0.2716843559239802,-0.2684554882716734,0.0032288676523067883,-0.08250781315223288,-0.07927894549992605,0.00322886765230683,4.163336342344337e-17,0.28159483365770877,0.11860500516293418
12,-0.2684554882716734,-0.26504728548200074,0.0034082027896726874,0.04843999746755023,0.05184820025722318,0.003408202789672944,2.5673907444456745e-16,0.24253195824268695,0.10139153939600506
13,-0.26504728548200074,-0.2614541637298114,0.0035931217521893433,0.19586253636778128,0.19945565811997046,0.0035931217521891767,1.6653345369377348e-16,0.509038703886031,0.2202541298139624
14,-0.2614541637298114,-0.2576549303306946,0.003799233399116808,-0.07649703658478552,-0.07269780318566862,0.0037992333991168914,8.326672684688674e-17,0.247681573383785,0.10912490973125755
15,-0.2576549303306946,-0.2536831641487961,0.003971766181898484,-0.03172837283310753,-0.02775660665120906,0.0039717661818984736,1.0408340855860843e-17,0.2372107076430408,0.10426965168569192
16,-0.2536831641487961,-0.24948091327122535,0.004202250877570757,-0.00039773130320919226,0.003804519574361621,0.004202250877570813,5.637851296924623e-17,0.29914399836916,0.09949550258026553
17,-0.24948091327122535,-0.24506382771399912,0.004417085557226225,-0.1858534955916985,-0.1814364100344722,0.004417085557226308,8.326672684688674e-17,0.4810894791498451,0.20520786056185264
18,-0.24506382771399912,-0.24040971551574622,0.004654112198252902,-0.03505936485347447,-0.030405252655221576,0.004654112198252892,1.0408340855860843e-17,0.2742472560618352,0.09363454767981508
19,-0.24040971551574622,-0.23552867293523666,0.004881042580509559,-0.04865952657554154,-0.043778483995031876,0.004881042580509663,1.0408340855860843e-16,0.24669860906282803,0.09696943863674777
