iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,-0.41129647111187356,-0.4046451542770051,0.00665131683486847,-0.20397637045493017,-0.1973250536200617,0.00665131683486847,0.0,0.6870849486406655,0.29100811385723985
1,-0.4046451542770051,-0.39807204415404907,0.006573110122956027,-0.028398655437541054,-0.02182554531458545,0.006573110122955604,4.2327252813834093e-16,0.27149049437070927,0.11137132321433141
2,-0.39807204415404907,-0.39123826422468433,0.006833779929364736,0.03951265043730179,0.046346430366666656,0.006833779929364868,1.3183898417423734e-16,0.2590058948298942,0.084704674161601
3,-0.39123826422468433,-0.3841089218662653,0.007129342358419055,0.4121330032849624,0.4192623456433809,0.0071293423584185,5.551115123125783e-16,0.5921330028880574,0.42260758263650766
4,-0.3841089218662653,-0.3766642076731987,0.007444714193066582,-0.0933025944145463,-0.08585788022147968,0.007444714193066623,4.163336342344337e-17,0.32674286692022525,0.12711194361308265
5,-0.3766642076731987,-0.3689307526326779,0.007733455040520809,0.10950345184417892,0.11723690688469976,0.007733455040520837,2.7755575615628914e-17,0.37823508476510026,0.14430438839643053
6,-0.3689307526326779,-0.36080080981662616,0.008129942816051727,-0.11765533058112893,-0.10952538776507721,0.008129942816051713,1.3877787807814457e-17,0.2830669036865988,0.14443760302256592
7,-0.36080080981662616,-0.3522738261093669,0.00852698370725924,-0.21065190697152286,-0.20212492326426357,0.008526983707259295,5.551115123125783e-17,0.4294064282892177,0.22784713277976587
8,-0.3522738261093669,-0.34327562999149075,0.008998196117876167,0.04418968563514719,0.0531878817530238,0.008998196117876611,4.440892098500626e-16,0.29505722296807746,0.11025412926525087
9,-0.34327562999149075,-0.33383859687217454,0.009437033119316207,0.2944006467407454,0.30383767986006144,0.00943703311931604,1.6653345369377348e-16,0.5154512637176989,0.30998660577272646
10,-0.33383859687217454,-0.323812370133166,0.010026226739008548,0.2410761672750773,0.2511023940140862,0.010026226739008881,3.3306690738754696e-16,0.40556751615317205,0.2531108538915476
11,-0.323812370133166,-0.31315828059304457,0.010654089540121425,-0.10035811385307347,-0.08970402431295223,0.010654089540121245,1.8041124150158794e-16,0.32876518212145944,0.131409424430646
12,-0.31315828059304457,-0.3018582951388224,0.011299985454222172,0.17086742082174916,0.1821674062759712,0.011299985454222033,1.3877787807814457e-16,0.43795218420183984,0.19559667094731678
13,-0.3018582951388224,-0.2899035758930808,0.011954719245741596,0.08024817806492607,0.09220289731066748,0.011954719245741416,1.8041124150158794e-16,0.2973073035817617,0.1139121431499586
14,-0.2899035758930808,-0.2772961596951512,0.0126074161979296,0.09715006140660587,0.10975747760453547,0.0126074161979296,0.0,0.23277090231507286,0.11928116237007809
15,-0.2772961596951512,-0.2639204149318688,0.013375744763282404,-0.16896293814575014,-0.15558719338246746,0.013375744763282682,2.7755575615628914e-16,0.31927082128752315,0.18331684723010813
