iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,0.09618783129248558,0.10506340641044776,0.008875575117962178,-0.03598114273641469,-0.027105567618452505,0.008875575117962182,3.469446951953614e-18,0.6127701895920098,0.1818244303868444
1,0.10506340641044776,0.11397471083022397,0.008911304419776209,0.23687391154275506,0.24578521596253125,0.008911304419776195,1.3877787807814457e-17,0.5611615549978153,0.252677117871433
2,0.11397471083022397,0.12309532791804964,0.009120617087825675,-0.005228561940167811,0.003892055147658122,0.009120617087825933,2.5847379792054426e-16,0.2727753402580561,0.0898735963211692
3,0.12309532791804964,0.13258098688173392,0.00948565896368428,-0.03868731828443264,-0.02920165932074845,0.009485658963684192,8.673617379884035e-17,0.3085401146281619,0.1087065040571585
4,0.13258098688173392,0.14250850431550194,0.009927517433768018,-0.19225959218376032,-0.18233207474999236,0.009927517433767963,5.551115123125783e-17,0.3670588083239703,0.2160542359046349
5,0.14250850431550194,0.15291547118114868,0.010406966865646738,-0.12192132756184887,-0.1115143606962019,0.010406966865646974,2.3592239273284576e-16,0.28874208745314944,0.14919322702642504
6,0.15291547118114868,0.16390357144595533,0.01098810026480665,0.07807007886596584,0.08905817913077232,0.010988100264806483,1.6653345369377348e-16,0.22509422444954436,0.11562866988364233
7,0.16390357144595533,0.17549643153596073,0.011592860090005402,0.5053323327000201,0.5169251927900255,0.011592860090005375,2.7755575615628914e-17,0.7900583111163525,0.5146407896699401
8,0.17549643153596073,0.18767550910800096,0.012179077572040231,0.06302731996673494,0.07520639753877512,0.012179077572040176,5.551115123125783e-17,0.40724974565660926,0.12403089506562713
9,0.18767550910800096,0.2005075270135066,0.012832017905505644,-0.14430502770025883,-0.13147300979475318,0.012832017905505644,0.0,0.546976870156725,0.17300756937309988
10,0.2005075270135066,0.21401269923360314,0.013505172220096534,-0.06092272067329674,-0.04741754845319998,0.013505172220096756,2.220446049250313e-16,0.3125027123653272,0.10952299258221063
11,0.21401269923360314,0.22831092488955423,0.014298225655951097,-0.07036070743645315,-0.05606248178050175,0.014298225655951395,2.983724378680108e-16,0.22374226981335504,0.09819279724936586
12,0.22831092488955423,0.2433348793361404,0.015023954446586163,-0.01256708882978469,0.0024568656168013985,0.015023954446586088,7.45931094670027e-17,0.21113009067083277,0.07884506121170408
13,0.2433348793361404,0.25918785334055544,0.015852974004415044,0.3143084955750567,0.3301614695794718,0.0158529740044151,5.551115123125783e-17,0.4970713748111032,0.3251278539864025
14,0.25918785334055544,0.2758781546623593,0.01669030132180388,0.23919405776381725,0.2558843590856212,0.016690301321803935,5.551115123125783e-17,0.531403338897585,0.25577597536210467
15,0.2758781546623593,0.2934439104209149,0.017565755758555568,0.002844145103744977,0.020409900862300642,0.017565755758555665,9.71445146547012e-17,0.24897077380330013,0.0925900415135237
16,0.2934439104209149,0.3119440637780251,0.018500153357110194,0.01823847146429658,0.03673862482140673,0.018500153357110152,4.163336342344337e-17,0.13526594104680678,0.0672570761623073
17,0.3119440637780251,0.3314704530935094,0.019526389315484338,0.011535657653109155,0.03106204696859343,0.019526389315484276,6.245004513516506e-17,0.16189049671770522,0.0656113124133757
18,0.3314704530935094,0.3520127896295242,0.020542336536014782,0.019151618384505853,0.03969395492052063,0.020542336536014776,6.938893903907228e-18,0.295326745535308,0.09912532039959635
19,0.3520127896295242,0.37360400290158235,0.021591213272058152,0.11936845071207136,0.14095966398412973,0.021591213272058374,2.220446049250313e-16,0.29646657819205574,0.13773562853106763
20,0.37360400290158235,0.39626374965000394,0.022659746748421583,-0.0885634089082048,-0.06590366215978302,0.022659746748421777,1.942890293094024e-16,0.2629913312505416,0.1162686975506671
21,0.39626374965000394,0.4201276426847481,0.023863893034744177,0.10109950202449652,0.12496339505924099,0.02386389303474447,2.914335439641036e-16,0.3630621959023777,0.13321192371591542
22,0.4201276426847481,0.44511589376503713,0.024988251080289015,-0.01401562535283929,0.010972625727449866,0.024988251080289153,1.3877787807814457e-16,0.25104340762793265,0.08226161042973888
23,0.44511589376503713,0.4713778638397308,0.026261970074693664,0.3523463787046831,0.3786083487793768,0.02626197007469372,5.551115123125783e-17,0.577028505346763,0.36530306954873215
24,0.4713778638397308,0.49895917814191604,0.027581314302185245,0.1862221736228058,0.2138034879249912,0.02758131430218541,1.6653345369377348e-16,0.4010298646295589,0.20455541027330312
25,0.49895917814191604,0.5278379124218857,0.028878734279969676,-0.1624894492191804,-0.13361071493921067,0.02887873427996973,5.551115123125783e-17,0.4518186047662991,0.18467101541786174
26,0.5278379124218857,0.5581034364999289,0.03026552407804317,0.012011044644962832,0.04227656872300648,0.03026552407804365,4.787836793695988e-16,0.15799777965817186,0.06977138983496574
27,0.5581034364999289,0.589760278037895,0.03165684153796611,-0.12602205398669297,-0.09436521244872631,0.03165684153796666,5.551115123125783e-16,0.3340772479023716,0.1467860681993627
28,0.589760278037895,0.6226509036305763,0.0328906255926813,0.0357558175811139,0.06864644317379459,0.03289062559268069,6.106226635438361e-16,0.25973776513102204,0.08670200562930103
29,0.6226509036305763,0.6571523452480941,0.03450144161751778,-0.009215441551484904,0.025286000066032252,0.034501441617517156,6.245004513516506e-16,0.18450655337563637,0.06590652491675787
30,0.6571523452480941,0.6930159130679792,0.03586356781988509,-0.28991085399634553,-0.2540472861764602,0.03586356781988531,2.220446049250313e-16,0.38816507961491187,0.29525831548143455
31,0.6930159130679792,0.7304636181349073,0.03744770506692818,0.06033648183442408,0.09778418690135203,0.03744770506692795,2.3592239273284576e-16,0.26322374024562656,0.10102404184126433
32,0.7304636181349073,0.7695946845080959,0.03913106637318853,0.3183419965922971,0.35747306296548564,0.03913106637318853,0.0,0.5033486618334552,0.32558202497584054
33,0.7695946845080959,0.8102322993337403,0.04063761482564443,-0.08389951308776866,-0.043261898262123816,0.04063761482564485,4.163336342344337e-16,0.2684123167776973,0.10768281440817493
34,0.8102322993337403,0.8520879832304566,0.041855683896716345,-0.16276029222614663,-0.1209046083294297,0.04185568389671693,5.828670879282072e-16,0.3340947990297952,0.17845574026510194
35,0.8520879832304566,0.8954093716003246,0.043321388369867986,0.03242483392576867,0.07574622229563606,0.04332138836986739,5.967448757360216e-16,0.19318507446085653,0.07433834726862543
36,0.8954093716003246,0.9401726767744185,0.04476330517409388,-0.2416158375434332,-0.19685253236933983,0.044763305174093354,5.273559366969494e-16,0.39187663773345965,0.25634437001655136
37,0.9401726767744185,0.9864743733058758,0.046301696531457326,-0.24127928834899648,-0.19497759181753896,0.04630169653145752,1.942890293094024e-16,0.3919033974834458,0.25510219072736556
38,0.9864743733058758,1.0347267027402702,0.04825232943439439,0.0774548327761777,0.1257071622105725,0.04825232943439478,3.885780586188048e-16,0.19822263523910766,0.09580544045320777
39,1.0347267027402702,1.0849856748825601,0.050258972142289915,0.4356628848629478,0.4859218570052379,0.05025897214229008,1.6653345369377348e-16,0.6178291426527949,0.4409644271857026
40,1.0849856748825601,1.1373467766352228,0.05236110175266262,0.024665383680044783,0.07702648543270842,0.05236110175266363,1.0130785099704553e-15,0.235397947007995,0.09067618139117778
41,1.1373467766352228,1.191240031315254,0.053893254680031255,-0.16103312329871144,-0.10713986861868062,0.053893254680030825,4.3021142204224816e-16,0.3292123944059746,0.1827519350030003
42,1.191240031315254,1.2468175295753765,0.05557749826012248,0.2180902106186915,0.27366770887881303,0.05557749826012154,9.43689570931383e-16,0.3506061886271612,0.22627851397185533
