iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,-0.428772132820991,-0.42079888095412754,0.007973251866863484,-0.22793666861889061,-0.2199634167520271,0.007973251866863512,2.7755575615628914e-17,0.7419327521287689,0.31977731867315407
1,-0.42079888095412754,-0.4128530698757385,0.007945811078389042,0.1833240492522309,0.19126986033062005,0.007945811078389153,1.1102230246251565e-16,0.5149773203521912,0.21758210008246529
2,-0.4128530698757385,-0.40495555202742956,0.007897517848308944,0.20951307310734418,0.21741059095565307,0.007897517848308888,5.551115123125783e-17,0.4755180933158169,0.2336843011940902
3,-0.40495555202742956,-0.3966632168334425,0.008292335193987033,-0.263077468388117,-0.2547851331941299,0.008292335193987144,1.1102230246251565e-16,0.7013939857119891,0.2833218959432451
4,-0.3966632168334425,-0.38799971361134544,0.00866350322209708,-0.08168138350029297,-0.07301788027819589,0.00866350322209708,0.0,0.2869847933223177,0.12980098923090788
5,-0.38799971361134544,-0.37900883474290914,0.008990878868436303,-0.2410701173516211,-0.2320792384831848,0.008990878868436303,0.0,0.5457867542273251,0.2573307497596956
6,-0.37900883474290914,-0.3694881089376473,0.009520725805261865,-0.11715825574143401,-0.10763752993617219,0.009520725805261823,4.163336342344337e-17,0.27319786124264905,0.14345223961183048
7,-0.3694881089376473,-0.35939940003793425,0.010088708899713028,-0.05573744504900657,-0.045648736149293156,0.010088708899713417,3.885780586188048e-16,0.22384550360069466,0.10155221497192554
8,-0.35939940003793425,-0.34874843976717906,0.010650960270755183,-0.28656752596491686,-0.27591656569416145,0.010650960270755405,2.220446049250313e-16,0.479246048190718,0.29982561532097174
9,-0.34874843976717906,-0.3374543844472057,0.01129405531997335,-0.2564455125436792,-0.24515145722370582,0.011294055319973378,2.7755575615628914e-17,0.48732927440573726,0.2682341166266206
10,-0.3374543844472057,-0.3254993948975665,0.011954989549639194,0.006889976539518783,0.01884496608915766,0.011954989549638879,3.157196726277789e-16,0.2388689049073387,0.08891032661667464
11,-0.3254993948975665,-0.3127903234169792,0.012709071480587308,0.1168354748625221,0.1295445463431099,0.012709071480587808,4.996003610813204e-16,0.3154568601145014,0.14404405721131402
12,-0.3127903234169792,-0.2993034169811637,0.013486906435815516,-0.1802612834624454,-0.1667743770266303,0.0134869064358151,4.163336342344337e-16,0.3103956728540658,0.19076557320724888
13,-0.2993034169811637,-0.2850556613983735,0.014247755582790178,0.005532767503720448,0.019780523086510866,0.014247755582790417,2.393918396847994e-16,0.22922664964553024,0.09254512437335165
14,-0.2850556613983735,-0.2699784966001546,0.015077164798218912,0.17662226944331455,0.19169943424153404,0.015077164798219495,5.828670879282072e-16,0.32917578410634835,0.19052028063723603
15,-0.2699784966001546,-0.25402125178238394,0.015957244817770666,0.4805134189033622,0.4964706637211323,0.01595724481777011,5.551115123125783e-16,0.7071209498381972,0.4876430608148499
16,-0.25402125178238394,-0.23716254428489902,0.016858707497484915,0.25048850258013217,0.26734721007761747,0.016858707497485304,3.885780586188048e-16,0.4908753109570265,0.2670218231311663
17,-0.23716254428489902,-0.2193481419775221,0.017814402307376936,0.07150586891458532,0.08932027122196219,0.017814402307376867,6.938893903907228e-17,0.2578783488574341,0.10611526790139002
18,-0.2193481419775221,-0.2004626055585531,0.01888553641896898,-0.09918174467324795,-0.08029620825427906,0.018885536418968882,9.71445146547012e-17,0.2568088476434593,0.12038567478090208
19,-0.2004626055585531,-0.18049394193796886,0.019968663620584248,-0.05229497012797124,-0.03232630650738691,0.01996866362058433,8.326672684688674e-17,0.23336442936465807,0.08911184286917471
20,-0.18049394193796886,-0.1594119233097886,0.021082018628180266,-0.0015786401344694,0.01950337849371083,0.02108201862818023,3.469446951953614e-17,0.21730821178997872,0.07324554384698753
21,-0.1594119233097886,-0.13716919599576227,0.022242727314026323,0.0872330031222659,0.10947573043629241,0.022242727314026517,1.942890293094024e-16,0.2802092138953341,0.12103643011748735
22,-0.13716919599576227,-0.11380670960546821,0.023362486390294063,-0.18418100437159024,-0.16081851798129618,0.023362486390294063,0.0,0.36217241609917605,0.19977160500394117
