iteration,J_k,J_k1,delta_J_exact,delta_hat_k,A_k,predicted_delta_J,identity_error,fa_error_linf,fa_error_l2
0,-0.47860272546128513,-0.46915658439606833,0.009446141065216795,-0.28397230999141143,-0.2745261689261945,0.009446141065216906,1.1102230246251565e-16,0.7446613712503642,0.3406546800885619
1,-0.46915658439606833,-0.45976963101556256,0.00938695338050577,-0.23148806979511338,-0.2221011164146073,0.009386953380506075,3.0531133177191805e-16,0.48902110670115706,0.25247032848323375
2,-0.45976963101556256,-0.45011343812741944,0.009656192888143122,0.06674646192560241,0.07640265481374646,0.009656192888144052,9.298117831235686e-16,0.3134888057492687,0.1168437173510575
3,-0.45011343812741944,-0.4400987578969965,0.010014680230422957,0.6797572592628687,0.6897719394932912,0.010014680230422512,4.440892098500626e-16,0.891645722710847,0.6857183888165249
4,-0.4400987578969965,-0.4295975153133678,0.010501242583628667,0.4000633074487975,0.41056455003242537,0.01050124258362789,7.771561172376096e-16,0.5658876065287779,0.4094314350977006
5,-0.4295975153133678,-0.4186492724093791,0.010948242903988714,0.05006794574116963,0.061016188645157954,0.010948242903988326,3.885780586188048e-16,0.23842394268953732,0.09971176136304473
6,-0.4186492724093791,-0.4071393743281735,0.011509898081205616,0.0018588165420856395,0.013368714623291146,0.011509898081205507,1.0928757898653885e-16,0.2879662955310084,0.10642565659461403
7,-0.4071393743281735,-0.3949671204094729,0.012172253918700582,0.21866178986304274,0.230834043781744,0.012172253918701248,6.661338147750939e-16,0.4622344706968093,0.24172599775399872
8,-0.3949671204094729,-0.38208700517039035,0.012880115239082557,-0.023877012579231582,-0.010996897340149147,0.012880115239082435,1.214306433183765e-16,0.2346496117272049,0.08649405206992028
9,-0.38208700517039035,-0.3685167503395464,0.013570254830843953,-0.18708417208013345,-0.17351391724928913,0.013570254830844314,3.608224830031759e-16,0.35153114477479774,0.206137463792549
10,-0.3685167503395464,-0.35417752269227576,0.014339227647270636,0.16865932540117096,0.18299855304844168,0.01433922764727072,8.326672684688674e-17,0.34837491321037434,0.19812435069812628
11,-0.35417752269227576,-0.3389878446066952,0.015189678085580582,-0.11209980926747021,-0.09691013118188949,0.015189678085580721,1.3877787807814457e-16,0.32141886996114866,0.1452068870581712
12,-0.3389878446066952,-0.3228729669898894,0.0161148776168058,-0.39410754839244433,-0.3779926707756385,0.016114877616805856,5.551115123125783e-17,0.5513740619490114,0.40034880530346345
13,-0.3228729669898894,-0.3058520719163366,0.017020895073552755,-0.3774165747126244,-0.36039567963907165,0.017020895073552755,0.0,0.5689526689511983,0.38483118792826443
