env,n_seeds,cg_AUROC_med,eps_u_AUROC_med,cg_AUPRC_med,eps_u_AUPRC_med,cg_wins,n_pairs,wilcoxon_p,base_rate,paper_cg,paper_eps_u,paper_base
LunarLander-v3,20,0.7188958845208845,0.44727319781667607,0.7269119988010183,0.5233043296279634,20,20,9.5367431640625e-07,0.4777397260273973,0.86,0.46,0.48
CartPole-v1,20,0.612590692775784,0.3826417004048583,0.353578544110248,0.3676197799520149,19,20,1.9073486328125e-06,0.2824742268041237,0.63,0.42,0.25
Acrobot-v1,20,0.79916871339505,0.3238239183827697,0.7678883153107061,0.5587674815794303,19,19,1.9073486328125e-06,0.4164383561643835,0.94,0.36,0.43
Hopper-v5,20,0.6664462098905943,0.4639352569477973,0.4385934569415678,0.3604212032979871,20,20,9.5367431640625e-07,0.32020547945205474,0.8,0.52,0.33
HalfCheetah-v5,20,0.6250058285248004,0.5516807079159787,0.5440796520074349,0.3906667776890828,20,20,9.5367431640625e-07,0.43630136986301365,0.76,0.57,0.43
Walker2d-v5,20,0.6134205308380005,0.4450796117462784,0.5291977887357459,0.4529386377690248,20,20,9.5367431640625e-07,0.41198630136986303,0.71,0.48,0.44
Ant-v5,20,0.6669796849298162,0.43100958078579565,0.6724353663657159,0.5408228863743614,20,20,9.5367431640625e-07,0.4815068493150685,0.72,0.48,0.48
Humanoid-v5,20,0.7643048439115423,0.5167597819004742,0.7643966592550129,0.45130992945239984,20,20,9.5367431640625e-07,0.4721311475409837,0.96,0.53,0.46
